date,股票代码,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
2024-02-02,000001,1371.79,1353.03,1378.04,1328.03,1634214,1520605694.69,3.65,-1.28,-17.51,0.84,1377.788,1369.9119999999998,1356.659,,52.14236745886654,7.921825852825577,7.029208863814094,0.8926169890114837,1356.659,1400.8332553745365,1312.4847446254637
2024-02-05,000001,1343.03,1366.79,1373.04,1333.03,1803592,1674566499.46,2.96,1.02,13.76,0.93,1369.788,1373.413,1358.097,,51.44893937637649,7.326266194619848,7.088620329975244,0.23764586464460358,1358.097,1401.584986532278,1314.609013467722
2024-02-06,000001,1356.79,1404.29,1404.29,1355.53,1995410,1900324218.2,3.57,2.74,37.5,1.03,1374.288,1379.914,1361.2224999999999,,64.33156714897086,9.767622403209316,7.624420744622059,2.143201658587257,1361.2224999999999,1408.5853710345095,1313.8596289654902
2024-02-07,000001,1396.79,1395.54,1403.04,1379.29,2062015,1975435102.12,1.69,-0.62,-8.75,1.06,1378.038,1383.414,1364.473,,62.73350556438792,10.871048237253035,8.273746243148254,2.5973019941047806,1364.473,1411.8899492681126,1317.0560507318874
2024-02-08,000001,1391.79,1403.04,1403.04,1384.29,1656814,1593505690.13,1.34,0.54,7.5,0.85,1384.538,1385.539,1367.5985,,65.24411061795834,12.209959665779934,9.06098892767459,3.1489707381053442,1367.5985,1416.5851036574775,1318.6118963425226
2024-02-19,000001,1414.29,1420.55,1420.55,1400.54,1605243,1564088444.93,1.43,1.25,17.51,0.83,1398.042,1387.915,1371.4744999999998,,70.76102717620094,14.516628623562838,10.15211686685224,4.364511756710598,1371.4744999999998,1424.3861393423485,1318.562860657651
2024-02-20,000001,1418.05,1421.8,1424.3,1410.54,1123564,1098987813.26,0.97,0.09,1.25,0.58,1409.0439999999999,1389.416,1375.288,,69.88050496289873,16.258131326970442,11.37331975887588,4.8848115680945625,1375.288,1431.2334258889393,1319.3425741110607
2024-02-21,000001,1416.8,1544.32,1544.32,1415.54,5055285,5295259396.81,9.06,8.62,122.52,2.61,1437.05,1405.669,1384.4144999999999,,79.7571243523316,27.210953885743038,14.540846584249312,12.670107301493726,1384.4144999999999,1477.9877099481473,1290.8412900518524
2024-02-22,000001,1525.56,1556.82,1558.07,1521.81,4922325,5307736374.06,2.35,0.81,12.5,2.54,1469.306,1423.672,1394.854,,79.16680553241127,36.4792797778216,18.92853322296377,17.55074655485783,1394.854,1514.336130863948,1275.371869136052
2024-02-23,000001,1554.32,1550.57,1599.33,1549.32,3567480,3917316281.52,3.21,-0.4,-6.25,1.84,1498.812,1441.675,1405.1685000000002,,76.39546858908342,42.826494880984455,23.708125554567907,19.11836932641655,1405.1685000000002,1540.794043359572,1269.5429566404284
2024-02-26,000001,1541.82,1510.56,1554.32,1506.81,2862609,3048205024.78,3.06,-2.58,-40.01,1.48,1516.8139999999999,1457.4279999999999,1413.6699999999998,,66.14795680184245,44.11965207142862,27.790430857940052,16.329221213488566,1413.6699999999998,1553.4868656342633,1273.8531343657364
2024-02-27,000001,1505.56,1506.81,1519.31,1501.81,1981905,2083027074.06,1.16,-0.25,-3.75,1.02,1533.816,1471.4299999999998,1422.4215,,70.83250016663334,44.33087605743003,31.098519897838052,13.23235615959198,1422.4215,1562.5672159380538,1282.275784061946
2024-02-28,000001,1508.06,1505.56,1531.81,1494.31,3082693,3253340358.41,2.49,-0.08,-1.25,1.59,1526.0639999999999,1481.557,1430.7355,,71.72893253687016,43.891454666890695,33.657106851648585,10.23434781524211,1430.7355,1569.8386062462973,1291.6323937537027
2024-02-29,000001,1496.81,1518.06,1518.06,1495.56,1845344,1936020982.56,1.49,0.83,12.5,0.95,1518.312,1493.8089999999997,1438.6115,,74.3786356425172,44.04414212824145,35.73451390696716,8.309628221274288,1438.6115,1578.8132229828816,1298.4097770171184
2024-03-01,000001,1518.06,1505.56,1519.31,1498.06,1828103,1917689306.77,1.4,-0.82,-12.5,0.94,1509.31,1504.061,1444.8,,75.6309863888422,42.66469051387821,37.120549228349375,5.544141285528838,1444.8,1585.3672365809339,1304.232763419066
2024-03-04,000001,1500.56,1485.56,1506.81,1484.31,1655930,1719562862.03,1.49,-1.33,-20.0,0.85,1504.31,1510.5620000000001,1449.2385,,69.54804305605846,39.50227468480284,37.59689431964007,1.9053803651627703,1449.2385,1589.0265838645648,1309.450416135435
2024-03-05,000001,1481.81,1498.06,1503.06,1476.81,1817319,1889144330.16,1.77,0.84,12.5,0.94,1502.56,1518.1879999999999,1453.8020000000001,,66.8173176943219,37.571581090116524,37.59183167373536,-0.020250583618839357,1453.8020000000001,1593.71439207748,1313.8896079225203
2024-03-06,000001,1494.31,1485.56,1500.56,1485.56,1345640,1396940060.42,1.0,-0.83,-12.5,0.69,1498.56,1512.312,1458.9905,,65.93048771855312,34.63361224994787,37.00018778897787,-2.366575539029995,1458.9905,1595.308973625475,1322.6720263745253
2024-03-07,000001,1485.56,1491.81,1524.31,1485.56,2016166,2109589237.19,2.61,0.42,6.25,1.04,1493.31,1505.811,1464.7414999999999,,65.7790891962032,32.43567526975903,36.0872852851341,-3.65161001537507,1464.7414999999999,1596.0720729066934,1333.4109270933063
2024-03-08,000001,1488.06,1491.81,1499.31,1481.81,1113974,1154491251.23,1.17,0.0,0.0,0.57,1490.56,1499.935,1470.8049999999998,,63.507468344832816,30.344007547163756,34.93862973754003,-4.594622190376278,1470.8049999999998,1594.8169922044908,1346.7930077955089
2024-03-11,000001,1491.81,1503.06,1503.06,1486.81,1210673,1260212019.66,1.09,0.75,11.25,0.62,1494.06,1499.185,1478.3065,,64.84038278910074,29.256871781060227,33.80227814624408,-4.545406365183851,1478.3065,1589.8451285270023,1366.7678714729975
2024-03-12,000001,1504.31,1514.31,1518.06,1495.56,1641262,1721999708.11,1.5,0.75,11.25,0.85,1497.31,1499.935,1485.6825,,40.766722047873984,28.969151488175157,32.83565281463029,-3.8665013264551362,1485.6825,1585.0132357690534,1386.3517642309464
2024-03-13,000001,1510.56,1485.56,1513.06,1481.81,1768039,1834654994.4,2.06,-1.9,-28.75,0.91,1497.31,1497.935,1489.746,,30.068247930185734,26.120149532345977,31.49255215817343,-5.372402625827455,1489.746,1581.4105622622906,1398.0814377377096
2024-03-14,000001,1481.81,1473.05,1491.81,1469.3,1409400,1448499697.91,1.52,-0.84,-12.51,0.73,1493.5579999999998,1493.434,1493.6215,,29.050913414765972,22.59241125319363,29.712523977177472,-7.120112723983841,1493.6215,1574.4266038708536,1412.8163961291464
2024-03-15,000001,1513.06,1519.31,1538.07,1506.81,3750208,3973799130.9,2.12,3.14,46.26,1.93,1499.058,1494.809,1499.435,,52.287342500130706,23.261306775188814,28.42228053677974,-5.1609737615909275,1499.435,1568.7077835976652,1430.1622164023347
2024-03-18,000001,1514.31,1511.81,1520.56,1505.56,1671397,1761249149.98,0.99,-0.49,-7.5,0.86,1500.8079999999998,1497.4339999999997,1503.998,,51.28191980309711,22.92199350296073,27.322223130015942,-4.400229627055211,1503.998,1562.591678696242,1445.404321303758
